file,dataset,ver,mode,method,seed,idx,run_tag,aug_ratio,aug_bound,degree_thr,restricted,alpha,gamma,E0,total_added_edges,final_global_used_adds,add_ratio_of_E0,epochs_with_add
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed6_idx6_a0.90_g0.95_rstr_ts125730_16222_7727.log,Cora_ML,aron_desc_intra,intra,gmm,6,6,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.75_g0.90_rstr_ts130147_16222_27331.log,Cora_ML,aron_desc_intra,intra,gmm,7,7,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.80_g1.00_rstr_ts125938_16222_9478.log,Cora_ML,aron_desc_intra,intra,gmm,7,7,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.90_g0.95_rstr_ts130357_16222_20293.log,Cora_ML,aron_desc_intra,intra,gmm,7,7,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.75_g0.90_rstr_ts130818_16222_3624.log,Cora_ML,aron_desc_intra,intra,gmm,8,8,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.80_g1.00_rstr_ts130607_16222_14479.log,Cora_ML,aron_desc_intra,intra,gmm,8,8,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.90_g0.95_rstr_ts131028_16222_11479.log,Cora_ML,aron_desc_intra,intra,gmm,8,8,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.75_g0.90_rstr_ts131448_16222_16392.log,Cora_ML,aron_desc_intra,intra,gmm,9,9,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.80_g1.00_rstr_ts131238_16222_8733.log,Cora_ML,aron_desc_intra,intra,gmm,9,9,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.90_g0.95_rstr_ts131656_16222_17386.log,Cora_ML,aron_desc_intra,intra,gmm,9,9,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.75_g0.90_rstr_ts063918_16222_7519.log,LastFMAsia,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.80_g1.00_rstr_ts062926_16222_27700.log,LastFMAsia,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.90_g0.95_rstr_ts064903_16222_5061.log,LastFMAsia,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.75_g0.90_rstr_ts070836_16222_25573.log,LastFMAsia,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.80_g1.00_rstr_ts065848_16222_24475.log,LastFMAsia,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.90_g0.95_rstr_ts071818_16222_1277.log,LastFMAsia,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed2_idx2_a0.75_g0.90_rstr_ts073750_16222_24035.log,LastFMAsia,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed2_idx2_a0.80_g1.00_rstr_ts072801_16222_29897.log,LastFMAsia,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed2_idx2_a0.90_g0.95_rstr_ts074734_16222_27192.log,LastFMAsia,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
